"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Rua João Rossi";" Balneário Riviera";" Americana/SP";"13476-791";-22.739638;-47.239781
" Rua Antônio Salvador";" Parque Dom Pedro II";" Americana/SP";"13476-640";-22.745699;-47.239861
" Rua Arcoverde";" Balneário Salto Grande";" Americana/SP";"13476-734";-22.735138;-47.239938
" Rua Mário Barbosa";" Monte Carlo";" Americana/SP";"13476-696";-22.737335;-47.239938
" Rua Yolanda Leite de Camargo";" São Benedito";" Americana/SP";"13476-679";-22.743531;-47.239938
" Praça Antônio Piva";" Balneário Salto Grande";" Americana/SP";"13476-739";-22.734136;-47.240004
" Rua Amapá";" Monte Carlo";" Americana/SP";"13476-697";-22.737399;-47.24002
" Rua Ferdinando Pinese";" Balneário Riviera";" Americana/SP";"13476-750";-22.738888;-47.240141
" Rua José Cometti";" Monte Carlo";" Americana/SP";"13476-694";-22.738936;-47.240548
" Rua Abílio Rodrigues";" São Benedito";" Americana/SP";"13476-651";-22.74274;-47.240613
" Rua Amazonas";" Monte Carlo";" Americana/SP";"13476-710";-22.735138;-47.240615
" Rua Acre";" Monte Carlo";" Americana/SP";"13476-700";-22.735837;-47.240625
" Rua Albano Mariscalchi";" Parque Dom Pedro II";" Americana/SP";"13476-641";-22.745968;-47.240674
" Rua José Denadai";" Monte Carlo";" Americana/SP";"13476-693";-22.739412;-47.241026
" Rua Geraldo Mazzoco";" Monte Carlo";" Americana/SP";"13476-695";-22.738167;-47.241064
" Rua Pedro Riedo";" Parque Dom Pedro II";" Americana/SP";"13476-635";-22.747151;-47.24124
" Rua Antônio Fugolin";" São Benedito";" Americana/SP";"13476-660";-22.741843;-47.241319
" Rua Carlos Alberto Brassorotto";" Balneário Riviera";" Americana/SP";"13476-770";-22.740927;-47.241359
" Rua Benedito Toledo Ferraz";" Parque Dom Pedro II";" Americana/SP";"13476-634";-22.74761;-47.241413
" Rua Lila Maria Drein Gomes";" São Benedito";" Americana/SP";"13476-682";-22.741082;-47.241494
" Rua José de Campos Machado";" São Benedito";" Americana/SP";"13476-678";-22.743528;-47.241582
" Rua Félicio Zamperlin";" Parque Dom Pedro II";" Americana/SP";"13476-622";-22.745602;-47.241693
" Rua Aristodemo Ardito";" São Benedito";" Americana/SP";"13476-681";-22.741651;-47.241712
" Rua Gerônimo Santon";" São Benedito";" Americana/SP";"13476-680";-22.742198;-47.241712
" Rua José Gonçalves";" Monte Carlo";" Americana/SP";"13476-691";-22.740348;-47.241794
" Rua Bernardo Jurgensen";" Parque Dom Pedro II";" Americana/SP";"13476-642";-22.74553;-47.241835
" Rua Aparecida de Toledo Mello";" São Benedito";" Americana/SP";"13476-665";-22.744331;-47.241835
" Rua Bahia";" Balneário Salto Grande";" Americana/SP";"13476-733";-22.734368;-47.24192
" Rua Juvenal de Souza Pinto";" Parque Dom Pedro II";" Americana/SP";"13476-611";-22.74398;-47.241942
" Rua Henrique Basseto";" Monte Carlo";" Americana/SP";"13476-690";-22.740989;-47.242023
" Rua Martim Mário Piva";" Parque Dom Pedro II";" Americana/SP";"13476-621";-22.745666;-47.242271
" Rua Francisco Sérgio de Toledo";" São Benedito";" Americana/SP";"13476-676";-22.742893;-47.242319
" Avenida Doutor José Barreto Pinto";" Parque Dom Pedro II";" Americana/SP";"13476-630";-22.745538;-47.242387
" Rua Hugo Rondelli";" Monte Carlo";" Americana/SP";"13476-692";-22.739737;-47.242446
" Rua Octávia Augusta do Nascimento de Toledo";" São Benedito";" Americana/SP";"13476-671";-22.743334;-47.242446
" Rua Joaquim Azanha";" Parque Dom Pedro II";" Americana/SP";"13476-633";-22.748339;-47.242625
" Rua Fioravante Gottardi";" São Benedito";" Americana/SP";"13476-675";-22.742684;-47.242723
" Rua Sebastião Gallo";" Parque Dom Pedro II";" Americana/SP";"13476-624";-22.747325;-47.242747
" Caminho de Servidão";" Chácara Machado";" Americana/SP";"13476-153";-22.737519;-47.24289
" Rua Antônio Mancini";" Parque Dom Pedro II";" Americana/SP";"13476-631";-22.748134;-47.242989
" Rua João Gotardi";" Parque Dom Pedro II";" Americana/SP";"13476-620";-22.744972;-47.242997
" Travessa do Imperador";" Parque Dom Pedro II";" Americana/SP";"13476-625";-22.744734;-47.243056
" Rua Maranhão";" Monte Carlo";" Americana/SP";"13476-699";-22.739567;-47.243146
" Rua Álvaro Leite de Campos";" São Benedito";" Americana/SP";"13476-674";-22.742603;-47.243251
" Rua Alcidia Leite de Campos";" São Benedito";" Americana/SP";"13476-672";-22.743008;-47.243497
" Rua dos Pampas";" Jardim da Mata";" Americana/SP";"13476-418";-22.748536;-47.2436
" Rua Francisco Zago";" Jardim Santo Antônio";" Americana/SP";"13476-602";-22.7466;-47.243634
" Rua da Madeira";" Jardim da Mata";" Americana/SP";"13476-402";-22.749731;-47.243666
" Rua da Capoeira";" Jardim da Mata";" Americana/SP";"13476-400";-22.748855;-47.243967
" Rua João Leite de Campos";" Jardim Santo Antônio";" Americana/SP";"13476-601";-22.746626;-47.243998
" Rua Mata Ciliar";" Jardim da Mata";" Americana/SP";"13476-410";-22.750765;-47.244067
